tool|sf|day|batch_type|q|parameters|time
DuckDB-PR|10|2012-11-29|power|9|{"startDate": "2012-09-03", "endDate": "2012-12-09"}|0.4913017749786377
DuckDB-PR|10|2012-11-29|power|9|{"startDate": "2012-09-02", "endDate": "2012-11-27"}|0.4959877014160156
DuckDB-PR|10|2012-11-29|power|9|{"startDate": "2012-09-02", "endDate": "2012-12-07"}|0.5047627449035644
DuckDB-PR|10|2012-11-29|power|10a|{"personId": "2199023302404", "country": "France", "tagClass": "Saint", "minPathDistance": "3", "maxPathDistance": "4"}|1.2272366523742675
DuckDB-PR|10|2012-11-29|power|10a|{"personId": "2199023302404", "country": "Cuba", "tagClass": "ComicsCreator", "minPathDistance": "3", "maxPathDistance": "4"}|1.0969544172286987
DuckDB-PR|10|2012-11-29|power|10a|{"personId": "2199023263376", "country": "Taiwan", "tagClass": "FormulaOneRacer", "minPathDistance": "3", "maxPathDistance": "4"}|1.0319586753845216
DuckDB-PR|10|2012-11-29|power|10a|{"personId": "2199023293139", "country": "Belgium", "tagClass": "PrimeMinister", "minPathDistance": "3", "maxPathDistance": "4"}|1.3218751668930053
DuckDB-PR|10|2012-11-29|power|10a|{"personId": "2199023302456", "country": "Turkey", "tagClass": "NascarDriver", "minPathDistance": "3", "maxPathDistance": "4"}|1.282239842414856
DuckDB-PR|10|2012-11-29|power|10b|{"personId": "3777", "country": "Estonia", "tagClass": "Company", "minPathDistance": "3", "maxPathDistance": "4"}|0.2964963912963867
DuckDB-PR|10|2012-11-29|power|10b|{"personId": "31198", "country": "Lithuania", "tagClass": "MartialArtist", "minPathDistance": "3", "maxPathDistance": "4"}|0.4469094753265381
DuckDB-PR|10|2012-11-29|power|10b|{"personId": "38277", "country": "Estonia", "tagClass": "SnookerChamp", "minPathDistance": "3", "maxPathDistance": "4"}|0.39186906814575195
DuckDB-PR|10|2012-11-29|power|10b|{"personId": "10315", "country": "Norway", "tagClass": "SnookerPlayer", "minPathDistance": "3", "maxPathDistance": "4"}|0.4197090625762939
DuckDB-PR|10|2012-11-29|power|10b|{"personId": "36774", "country": "Honduras", "tagClass": "Model", "minPathDistance": "3", "maxPathDistance": "4"}|0.23319458961486816
DuckDB-PR|10|2012-11-29|power|11|{"country": "India", "startDate": "2012-09-28", "endDate": "2013-01-10"}|0.14143548011779786
DuckDB-PR|10|2012-11-29|power|11|{"country": "China", "startDate": "2012-09-30", "endDate": "2012-12-31"}|0.13318865299224852
DuckDB-PR|10|2012-11-29|power|11|{"country": "India", "startDate": "2012-10-04", "endDate": "2013-01-16"}|0.13562536239624023
DuckDB-PR|10|2012-11-29|power|11|{"country": "China", "startDate": "2012-10-12", "endDate": "2013-01-12"}|0.12326548099517823
DuckDB-PR|10|2012-11-29|power|11|{"country": "China", "startDate": "2012-10-14", "endDate": "2013-01-14"}|0.12200214862823486
DuckDB-PR|10|2012-11-29|power|12|{"startDate": "2012-06-05", "lengthThreshold": "115", "languages": "es;pt;zh"}|0.6474871397018432
DuckDB-PR|10|2012-11-29|power|12|{"startDate": "2012-06-05", "lengthThreshold": "115", "languages": "zh;ru;fr"}|0.6409475564956665
DuckDB-PR|10|2012-11-29|power|12|{"startDate": "2012-06-05", "lengthThreshold": "115", "languages": "ru;de;ja"}|0.6107123136520386
DuckDB-PR|10|2012-11-29|power|12|{"startDate": "2012-06-05", "lengthThreshold": "115", "languages": "ur;de;ja"}|0.6103749990463256
DuckDB-PR|10|2012-11-29|power|12|{"startDate": "2012-06-29", "lengthThreshold": "75", "languages": "es;pt;zh"}|0.5977015733718872
DuckDB-PR|10|2012-11-29|power|13|{"country": "India", "endDate": "2012-11-09"}|0.4973894119262695
DuckDB-PR|10|2012-11-29|power|13|{"country": "India", "endDate": "2012-11-03"}|0.49569292068481446
DuckDB-PR|10|2012-11-29|power|13|{"country": "China", "endDate": "2012-11-10"}|0.4773534059524536
DuckDB-PR|10|2012-11-29|power|13|{"country": "China", "endDate": "2012-10-25"}|0.48877274990081787
DuckDB-PR|10|2012-11-29|power|13|{"country": "India", "endDate": "2012-11-05"}|0.49726338386535646
DuckDB-PR|10|2012-11-29|power|14a|{"country1": "India", "country2": "Chile"}|4.168122124671936
DuckDB-PR|10|2012-11-29|power|14a|{"country1": "Germany", "country2": "Japan"}|4.1076250076293945
DuckDB-PR|10|2012-11-29|power|14a|{"country1": "China", "country2": "Spain"}|4.107275938987732
DuckDB-PR|10|2012-11-29|power|14a|{"country1": "India", "country2": "Italy"}|4.175020503997803
DuckDB-PR|10|2012-11-29|power|14a|{"country1": "India", "country2": "South_Korea"}|4.180116844177246
DuckDB-PR|10|2012-11-29|power|14b|{"country1": "Angola", "country2": "Slovakia"}|3.8611768007278444
DuckDB-PR|10|2012-11-29|power|14b|{"country1": "Angola", "country2": "New_Zealand"}|3.8767741680145265
DuckDB-PR|10|2012-11-29|power|14b|{"country1": "Bolivia", "country2": "New_Zealand"}|3.8634700536727906
DuckDB-PR|10|2012-11-29|power|14b|{"country1": "Bolivia", "country2": "Hong_Kong"}|3.8862621068954466
DuckDB-PR|10|2012-11-29|power|14b|{"country1": "Azerbaijan", "country2": "Libya"}|3.8750083684921264
DuckDB-PR|10|2012-11-29|power|16a|{"tagA": "Diosdado_Macapagal", "dateA": "2012-10-08", "tagB": "Thailand", "dateB": "2012-02-21", "maxKnowsLimit": "5"}|3.3810256004333494
