时间戳,CPU利用率,物理内存使用量(MB),磁盘读取(MB),磁盘写入(MB),磁盘读取次数,磁盘写入次数
1744378613.978839052,.137,10174.0078,0,0,0,0
1744378614.510511809,.125,10200.3203,0,0,0,0
1744378615.039541358,.123,10201.5703,.9375,0,55,0
1744378615.571117981,.222,10217.5742,1.3671,0,79,0
1744378616.103157159,.249,10240.3359,1.4843,0,71,0
1744378616.634281724,.249,10260.9687,.8046,0,45,0
1744378617.165128119,.218,10282.8046,.6406,0,41,0
1744378617.693896735,.125,10305.3046,0,0,0,0
1744378618.222356765,.124,10327.3046,0,0,0,0
1744378618.750928852,.125,10349.8046,0,0,0,0
1744378619.281652578,.125,10370.5546,0,0,0,0
1744378619.811379605,.124,10391.4296,0,0,0,0
1744378620.342197198,.125,10412.3046,0,0,0,0
1744378620.870723857,.125,10432.9296,0,0,0,0
1744378621.399155223,.125,10453.9296,0,0,0,0
1744378621.927777936,.125,10474.6796,0,0,0,0
1744378622.456272490,.125,10495.6796,0,0,0,0
1744378622.985040668,.125,10516.6796,0,0,0,0
1744378623.517257596,.125,10537.4296,0,0,0,0
1744378624.046773384,.124,10559.3046,0,0,0,0
1744378624.575454287,.125,10581.0546,0,0,0,0
1744378625.104391640,.125,10602.4296,0,0,0,0
1744378625.633843223,.125,10623.1796,0,0,0,0
1744378626.163392064,.124,10644.3046,0,0,0,0
1744378626.693013291,.125,10665.1250,0,0,0,0
1744378627.221722160,.124,10686.7500,0,0,0,0
1744378627.750588272,.125,10707.3750,0,0,0,0
1744378628.279171193,.125,10728.3750,0,0,0,0
1744378628.808729828,.124,10750.1250,0,0,0,0
1744378629.337555749,.126,10771.0000,0,117.9687,0,356
1744378629.866333061,.125,10791.5000,0,0,0,0
1744378630.395986936,.124,10812.3359,0,0,0,0
1744378630.925834213,.125,10833.5859,0,0,0,0
1744378631.455658479,.124,10854.8359,0,0,0,0
1744378631.985905207,.125,10876.2109,0,0,0,0
1744378632.516245343,.124,10896.8359,0,0,0,0
1744378633.044142667,.125,10917.3359,0,0,0,0
1744378633.573082811,.125,10938.9609,0,0,0,0
1744378634.102373801,.125,10960.0781,0,28.3359,0,71
1744378634.630792361,.125,10980.0781,0,290.8281,0,734
1744378635.162471947,.125,11000.4531,0,140.8984,0,354
1744378635.693459286,.125,11013.4140,.0937,126.9765,5,319
1744378636.222802577,.129,11014.5742,1.1718,0,62,0
1744378636.752999064,.144,11015.6992,1.0078,0,57,0
1744378637.285358637,.148,11016.3632,.6718,0,40,0
1744378637.814295456,.145,11017.8867,1.6328,0,90,0
1744378638.344400728,.149,11019.6289,1.6718,0,84,0
1744378638.874706887,.144,11020.5195,.8906,0,53,0
1744378639.407587369,.146,11022.0585,1.5625,0,81,0
1744378639.938179415,.154,11023.2851,1.1718,0,60,0
1744378640.468353291,.153,11024.3398,1.1484,0,69,0
1744378641.000497221,.141,11025.2460,.8437,0,43,0
1744378641.532916600,.154,11026.4414,1.2656,0,85,0
1744378642.062698587,.140,11027.3554,.8046,0,47,0
1744378642.592543835,.144,11028.0507,.8046,0,51,0
1744378643.122499078,.150,11028.8085,.6640,0,41,0
1744378643.652185129,.135,11022.9023,.7343,0,54,0
1744378644.184136352,.148,11023.7539,.7539,0,57,0
1744378644.711874271,.146,11024.1054,.4140,0,36,0
1744378645.239768295,.139,10809.0937,.0859,0,7,0
1744378645.769082783,.125,10504.4921,0,0,0,0
1744378646.298379463,.124,10213.6757,0,0,0,0
1744378646.827391229,.125,10193.7421,0,0,0,0
1744378647.358000196,.125,10211.0390,0,0,0,0
1744378647.888743880,.176,10220.7695,0,0,0,0
1744378648.417990922,.251,10248.1445,0,0,0,0
1744378648.948569903,.248,10273.5195,0,0,0,0
1744378649.481152054,.242,10300.7304,0,0,0,0
1744378650.008107301,.124,10327.2382,0,0,0,0
1744378650.536804346,.124,10354.3632,0,0,0,0
1744378651.066333453,.127,10381.6132,0,0,0,0
1744378651.595109050,.125,10407.9882,0,0,0,0
1744378652.123598947,.125,10434.8632,0,0,0,0
1744378652.652393165,.125,10462.3632,0,0,0,0
1744378653.182200788,.125,10488.6132,0,0,0,0
1744378653.710508550,.125,10515.9843,0,0,0,0
1744378654.239664525,.125,10542.6093,0,0,0,0
1744378654.768095217,.125,10571.3593,0,0,0,0
1744378655.297669701,.125,10599.2343,0,0,0,0
1744378655.826869325,.125,10626.7343,0,0,0,0
1744378656.354344679,.125,10654.4843,0,0,0,0
1744378656.882904897,.125,10682.3593,0,0,0,0
1744378657.411451701,.125,10710.0390,0,0,0,0
1744378657.940651928,.124,10737.1640,0,0,0,0
1744378658.468934124,.126,10764.4140,0,0,0,0
1744378658.998556187,.124,10791.4140,0,0,0,0
1744378659.529258869,.125,10818.2890,0,0,0,0
1744378660.059793208,.124,10845.5390,0,0,0,0
1744378660.588841915,.124,10873.0390,0,0,0,0
1744378661.118282131,.125,10899.8320,0,0,0,0
1744378661.646567232,.125,10926.0937,0,.4843,0,124
1744378662.176143328,.124,10953.9687,0,0,0,0
1744378662.704900696,.125,10981.3437,0,0,0,0
1744378663.234260335,.125,11007.8437,0,0,0,0
1744378663.763756143,.128,11026.4179,0,0,0,0
1744378664.295240798,.144,11026.4179,0,0,0,0
1744378664.826169986,.147,11026.4179,0,0,0,0
1744378665.355688912,.145,11026.4179,0,0,0,0
1744378665.884337557,.148,11026.4179,0,0,0,0
1744378666.412121651,.142,11026.4179,0,0,0,0
1744378666.939597028,.146,11026.4179,0,0,0,0
1744378667.467645256,.144,11026.4179,0,0,0,0
1744378667.995900177,.160,11026.4179,0,0,0,0
1744378668.524230157,.134,11026.4179,0,0,0,0
1744378669.051493345,.143,11026.4179,0,0,0,0
1744378669.583247423,.157,11026.4179,0,0,0,0
1744378670.111606877,.138,11026.4179,0,0,0,0
1744378670.640891144,.147,11026.4179,0,0,0,0
1744378671.170480684,.145,11026.4140,0,0,0,0
1744378671.700224780,.149,11026.4140,0,127.8437,0,320
1744378672.227968032,.139,10831.5937,0,0,0,0
1744378672.756293527,.124,10518.7929,0,0,0,0
1744378673.284678265,.124,10223.7460,0,0,0,0
